respondent_id;Ítem;Respuesta;Heurística;Indicador
1;Q1;5;Visibilidad del estado del sistema;Indicador 1
2;Q1;4;Visibilidad del estado del sistema;Indicador 1
3;Q1;5;Visibilidad del estado del sistema;Indicador 1
4;Q1;5;Visibilidad del estado del sistema;Indicador 1
5;Q1;5;Visibilidad del estado del sistema;Indicador 1
6;Q1;4;Visibilidad del estado del sistema;Indicador 1
7;Q1;4;Visibilidad del estado del sistema;Indicador 1
1;Q2;4;Visibilidad del estado del sistema;Indicador 2
2;Q2;4;Visibilidad del estado del sistema;Indicador 2
3;Q2;5;Visibilidad del estado del sistema;Indicador 2
4;Q2;4;Visibilidad del estado del sistema;Indicador 2
5;Q2;2;Visibilidad del estado del sistema;Indicador 2
6;Q2;5;Visibilidad del estado del sistema;Indicador 2
7;Q2;4;Visibilidad del estado del sistema;Indicador 2
1;Q3;4;Correspondencia entre el sistema y el mundo real;Indicador 1
2;Q3;3;Correspondencia entre el sistema y el mundo real;Indicador 1
3;Q3;3;Correspondencia entre el sistema y el mundo real;Indicador 1
4;Q3;5;Correspondencia entre el sistema y el mundo real;Indicador 1
5;Q3;4;Correspondencia entre el sistema y el mundo real;Indicador 1
6;Q3;5;Correspondencia entre el sistema y el mundo real;Indicador 1
7;Q3;4;Correspondencia entre el sistema y el mundo real;Indicador 1
1;Q4;3;Correspondencia entre el sistema y el mundo real;Indicador 2
2;Q4;4;Correspondencia entre el sistema y el mundo real;Indicador 2
3;Q4;4;Correspondencia entre el sistema y el mundo real;Indicador 2
4;Q4;5;Correspondencia entre el sistema y el mundo real;Indicador 2
5;Q4;2;Correspondencia entre el sistema y el mundo real;Indicador 2
6;Q4;4;Correspondencia entre el sistema y el mundo real;Indicador 2
7;Q4;4;Correspondencia entre el sistema y el mundo real;Indicador 2
1;Q5;4;Control y libertad del usuario;Indicador 1
2;Q5;5;Control y libertad del usuario;Indicador 1
3;Q5;4;Control y libertad del usuario;Indicador 1
4;Q5;5;Control y libertad del usuario;Indicador 1
5;Q5;4;Control y libertad del usuario;Indicador 1
6;Q5;5;Control y libertad del usuario;Indicador 1
7;Q5;4;Control y libertad del usuario;Indicador 1
1;Q6;5;Control y libertad del usuario;Indicador 2
2;Q6;4;Control y libertad del usuario;Indicador 2
3;Q6;4;Control y libertad del usuario;Indicador 2
4;Q6;5;Control y libertad del usuario;Indicador 2
5;Q6;4;Control y libertad del usuario;Indicador 2
6;Q6;5;Control y libertad del usuario;Indicador 2
7;Q6;4;Control y libertad del usuario;Indicador 2
1;Q7;4;Consistencia y estándares;Indicador 1
2;Q7;3;Consistencia y estándares;Indicador 1
3;Q7;3;Consistencia y estándares;Indicador 1
4;Q7;5;Consistencia y estándares;Indicador 1
5;Q7;2;Consistencia y estándares;Indicador 1
6;Q7;5;Consistencia y estándares;Indicador 1
7;Q7;4;Consistencia y estándares;Indicador 1
1;Q8;5;Consistencia y estándares;Indicador 2
2;Q8;4;Consistencia y estándares;Indicador 2
3;Q8;3;Consistencia y estándares;Indicador 2
4;Q8;5;Consistencia y estándares;Indicador 2
5;Q8;3;Consistencia y estándares;Indicador 2
6;Q8;4;Consistencia y estándares;Indicador 2
7;Q8;4;Consistencia y estándares;Indicador 2
1;Q9;3;Prevención de errores;Indicador 1
2;Q9;4;Prevención de errores;Indicador 1
3;Q9;5;Prevención de errores;Indicador 1
4;Q9;5;Prevención de errores;Indicador 1
5;Q9;4;Prevención de errores;Indicador 1
6;Q9;4;Prevención de errores;Indicador 1
7;Q9;4;Prevención de errores;Indicador 1
1;Q10;4;Prevención de errores;Indicador 2
2;Q10;4;Prevención de errores;Indicador 2
3;Q10;3;Prevención de errores;Indicador 2
4;Q10;5;Prevención de errores;Indicador 2
5;Q10;2;Prevención de errores;Indicador 2
6;Q10;5;Prevención de errores;Indicador 2
7;Q10;4;Prevención de errores;Indicador 2
1;Q11;5;Reconocer antes que recordar;Indicador 1
2;Q11;4;Reconocer antes que recordar;Indicador 1
3;Q11;4;Reconocer antes que recordar;Indicador 1
4;Q11;5;Reconocer antes que recordar;Indicador 1
5;Q11;4;Reconocer antes que recordar;Indicador 1
6;Q11;5;Reconocer antes que recordar;Indicador 1
7;Q11;4;Reconocer antes que recordar;Indicador 1
1;Q12;3;Reconocer antes que recordar;Indicador 2
2;Q12;4;Reconocer antes que recordar;Indicador 2
