Heurística;count;mean;median;std;
Control y libertad del usuario;14;4.428571429;4;0.513552591;
Ayuda y documentación;14;4.285714286;4;0.726273039;
Visibilidad del estado del sistema;14;4.285714286;4;0.825420306;
Diseño estético y minimalista;14;4.285714286;4;0.726273039;
Reconocer antes que recordar;14;4.071428571;4;0.730045912;
Prevención de errores;14;4;4;0.877058019;
Flexibilidad y eficiencia de uso;14;3.928571429;4;0.916874768;
Consistencia y estándares;14;3.857142857;4;0.949262293;
Correspondencia entre el sistema y el mundo real;14;3.857142857;4;0.864437822;
Reconocer; diagnosticar y recuperarse de errores;14;3.785714286;4;1.050902281
